34 - Details Of Assembly Segment Of PC,,,,,,,,,,,
State/UT Name,PC NO,PC NAME,TOTAL ELECTORS IN PC,AC NO,AC NAME,TOTAL ELECTORS IN AC,TOTAL VALID VOTES IN STATE,NOTA VOTES EVM IN AC,CANDIDATE NAME,PARTY,VOTES SECURED EVM
Andhra Pradesh,3,Vizianagaram,1590994,7,Etcherla,245696,33327256,4605,SIYYADULA YELLA RAO,IND,680
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,APPALANAIDU KALISETTI,TDP,92451
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,PEERUBANDI PRAKASH RAO,BSP,1351
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,BELLANA CHANDRASEKHAR,YSRCP,72875
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,BOBBILI SRINU,INC,1033
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,ATCHIYYA NAIDU SAMIREDDY,SP,137
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,CHINNAM ARUNA KUMAR,JRBP,108
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,VANGAPANDU MAHESWARA RAO,NBBHNRSVP,120
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,SRINIVASA RAO SAMBHANA (VASU),YGATLSIP,171
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,SAKHINETI ANANTHA RAJU,PPOI,79
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,ALLU SRIRAMULU,IND,384
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,ADINARAYANA TADDI,IND,131
Andhra Pradesh,3,Vizianagaram,1590994,9,Rajam,228390,33327256,2544,P V A ANANDA SAGAR,IND,99
